TAXON 1,INTERACTION TYPE,BODY PART,TAXON 2,INTERACTION TITLE,REPORTED FOR BOGOTÁ,REMARKS,SOURCE TYPE 1,REFERENCE 1,SOURCE TYPE 2,REFERENCE 2,SOURCE TYPE 3,REFERENCE 3,SOURCE TYPE 4,REFERENCE 4,SOURCE TYPE 5,REFERENCE 5,SOURCE TYPE 6,REFERENCE 6
Fungi sp.,Crece sobre,la flor,Fragaria × ananassa,EPIFITISMO/EPIZOISMO,SI,Las flores de fresa contienen bacterias y levaduras que producen compuestos volátiles atrayentes como señal olfativa para sus polinizadores como es Apis mellifera,Literatura Gris,"Navarro, J.C. (2015) Detección de bacterias productoras de compuestos volátiles asociadas a flores de fresa (Fragaria x ananassa) como posibles atrayentes de abejas polinizadoras (Apis mellifera). B. Sc. Tesis. Universidad Nacional de Colombia, Bogotá D.C.",,,,,,,,,,
Ascomycota sp.,Crece sobre,el tallo,Pinus sp.,EPIFITISMO/EPIZOISMO,SI,El epífito representa un líquen de identidad desconocida,Multimedia,"Rivera, Y. (2017) Determinado por Rivera, Y. & Fajardo, F.",,,,,,,,,,
Ascomycota sp.,Crece sobre,el tallo,Acacia melanoxylon,EPIFITISMO/EPIZOISMO,SI,El epífito representa un líquen de identidad desconocida,Multimedia,"Rivera, Y. (2018) Determinado por Rivera, Y. & Rodríguez, A.",,,,,,,,,,
Bryophyta sp.,Crece sobre,el tallo,Ilex kunthiana,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Fajardo-Gutierrez, F. 3185 JBB",,,,,,,,,,
Bryophyta sp.,Crece sobre,el tallo,Viburnum triphyllum,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Fajardo-Gutierrez, F. 3160, 3136 JBB",,,,,,,,,,
Bryophyta sp.,Crece sobre,el tallo,Fraxinus uhdei,EPIFITISMO/EPIZOISMO,SI,,Multimedia,"Rivera, Y. (2017) Determinado por Rodríguez, A.",,,,,,,,,,
Marchantiophyta sp.,Crece sobre,el tallo,Viburnum sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Fajardo-Gutierrez, F. 3135 JBB",,,,,,,,,,
Hexanauplia sp.,Consume,general,Culex quinquefasciatus,DEPREDACIÓN,SI,Las larvas de C. quinquefasciatus son consumidas,Literatura Gris,"Basallo-Espitia., P.J. (2017) Control Biológico De Larvas De Culex SP, Mediante El Uso De Náyades De Odonata En Condiciones De Laboratorio. Tésis de Grado. Universidad Distrital Francisco José de Caldas. Bogotá, Colombia.",,,,,,,,,,
Glomeromycetes sp.,Es simbionte con,la raíz,Croton bogotanus,MUTUALISMO,SI,Asociación micorrícica. La planta se reporta como Croton bogotensis en la fuente,Artículo Científico,"Ramos-Montaño, C., Posada-Almanza, R.H., Ronderos-Figueroa, M.A., Penagos-Cañón, G.A. (2009) Relación entre asociación micorrícica con el estado fitosanitario en el el arbolado urbano de Bogotá D.C. Acta Biológica Colombiana 15, 245-258.",,,,,,,,,,
Glomeromycetes sp.,Es simbionte con,la raíz,Syzygium paniculatum,MUTUALISMO,SI,Asociación micorrícica. La planta se reporta como Eugenia myrtifolia en la fuente,Artículo Científico,"Ramos-Montaño, C., Posada-Almanza, R.H., Ronderos-Figueroa, M.A., Penagos-Cañón, G.A. (2009) Relación entre asociación micorrícica con el estado fitosanitario en el el arbolado urbano de Bogotá D.C. Acta Biológica Colombiana 15, 245-258.",,,,,,,,,,
